"datetime","time","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count","dayOfWeek"
'2011-01-01 00:00:00','00:00:00','1','0','0','1',9.84,14.395,81,0,16,'zaterdag'
'2011-01-01 01:00:00','01:00:00','1','0','0','1',9.02,13.635,80,0,40,'zaterdag'
'2011-01-01 02:00:00','02:00:00','1','0','0','1',9.02,13.635,80,0,32,'zaterdag'
'2011-01-01 03:00:00','03:00:00','1','0','0','1',9.84,14.395,75,0,13,'zaterdag'
'2011-01-01 04:00:00','04:00:00','1','0','0','1',9.84,14.395,75,0,1,'zaterdag'
'2011-01-01 05:00:00','05:00:00','1','0','0','2',9.84,12.88,75,60.032,1,'zaterdag'
'2011-01-01 06:00:00','06:00:00','1','0','0','1',9.02,13.635,80,0,2,'zaterdag'
'2011-01-01 07:00:00','07:00:00','1','0','0','1',8.2,12.88,86,0,3,'zaterdag'
'2011-01-01 08:00:00','08:00:00','1','0','0','1',9.84,14.395,75,0,8,'zaterdag'
'2011-01-01 09:00:00','09:00:00','1','0','0','1',13.12,17.425,76,0,14,'zaterdag'
'2011-01-01 10:00:00','10:00:00','1','0','0','1',15.58,19.695,76,169.979,36,'zaterdag'
'2011-01-01 11:00:00','11:00:00','1','0','0','1',14.76,16.665,81,190.012,56,'zaterdag'
'2011-01-01 12:00:00','12:00:00','1','0','0','1',17.22,21.21,77,190.012,84,'zaterdag'
'2011-01-01 13:00:00','13:00:00','1','0','0','2',18.86,22.725,72,199.995,94,'zaterdag'
'2011-01-01 14:00:00','14:00:00','1','0','0','2',18.86,22.725,72,190.012,106,'zaterdag'
'2011-01-01 15:00:00','15:00:00','1','0','0','2',18.04,21.97,77,199.995,110,'zaterdag'
'2011-01-01 16:00:00','16:00:00','1','0','0','2',17.22,21.21,82,199.995,93,'zaterdag'
'2011-01-01 17:00:00','17:00:00','1','0','0','2',18.04,21.97,82,190.012,67,'zaterdag'
'2011-01-01 18:00:00','18:00:00','1','0','0','3',17.22,21.21,88,169.979,35,'zaterdag'
'2011-01-01 19:00:00','19:00:00','1','0','0','3',17.22,21.21,88,169.979,37,'zaterdag'
'2011-01-01 20:00:00','20:00:00','1','0','0','2',16.4,20.455,87,169.979,36,'zaterdag'
