Enfermedad;Prioridad
Reaccion a la droga;4
Malaria;2
Alergia;5
Hipotiroidismo;5
Soriasis;5
Enfermedad por reflujo gaestroesofagico;5
Colestasis cronica;5
Hepatitis A;5
Osteoartritis;5
Vertigo posicional paroxismal;5
Hipoglucemia;2
Acne;5
Diabetes;3
Impetigo;5
Hipertension;3
Ulcera peptica;3
Hemorroides dimorficas;4
Resfriado comun;5
Varicela;4
Espondilosis cervical;4
Hipertiroidismo;5
Infeccion del tracto urinario;5
Venas varicosas;5
SIDA;2
Paralisis (hemorragia cerebral);1
Tifoidea;5
Hepatitis B;3
Infeccion micotica;5
Hepatitis C;3
Migrana;5
Asma bronquial;3
Hepatitis alcoholica;3
Ictericia;5
Hepatitis E;5
Dengue;2
Hepatitis D;5
Infarto de miocardio;1
Neumonia;2
Artritis;5
Gastroenteritis;4
Tuberculosis;3
