itching,Picazon
skin rash,Erupcion cutanea
nodal skin eruptions,Erupciones de nodulos en la piel
continuous sneezing,Estornudos continuos
shivering,Temblores
chills,Escalofrios
joint pain,Dolor en las articulaciones
stomach pain,Dolor de estomago
acidity,Acidez
ulcers on tongue,Ulceras en lengua
muscle wasting,Perdida de musculatura
vomiting,Vomitos
burning micturition,Miccion ardiente
spotting urination,Miccion con sangrado
fatigue,Fatiga
weight gain,Aumento de peso
anxiety,Ansiedad
cold hands and feets,Manos y pies frios
mood swings,Cambios de humor
weight loss,Perdida de peso
restlessness,Inquietud
lethargy,Letargo
patches in throat,Parches en la garganta
irregular sugar level,Nivel de azucar irregular
cough,Tos
high fever,Fiebre alta
sunken eyes,Ojos hundidos
breathlessness,Falta de aliento
sweating,Sudor
dehydration,Deshidracion
indigestion,Indigestion
headache,Dolor de cabeza
yellowish skin,Piel amarillenta
dark urine,Orina oscura
nausea,Nauseas
loss of appetite,Perdida de apetito
pain behind the eyes,Dolor detras de los ojos
back pain,Dolor de espalda
constipation,Estreñimiento
abdominal pain,Dolor abdominal
diarrhoea,Diarrea
mild fever,Fiebre leve
yellow urine,Orina amarilla
yellowing of eyes,Ojos amarillentos
acute liver failure,Insuficiencia hepatica aguda
fluid overload,Sobrecarga de fluidos
swelling of stomach,Hinchazon del estomago
swelled lymph nodes,Ganglios linfaticos hinchados
malaise,Malestar
blurred and distorted vision,Vision borrosa y distorsionada
phlegm,Flema
throat irritation,Irritacion de garganta
redness of eyes,Enrojecimiento de los ojos
sinus pressure,Presion en los senos
runny nose,Secrecion nasal
congestion,Congestion
chest pain,Dolor de pecho
weakness in limbs,Debilidad en las extremidades
fast heart rate,Ritmo cardiaco rapido
pain during bowel movements,Dolor al defecar
pain in anal region,Dolor en la region anal
bloody stool,Heces con sangre
irritation in anus,Irritacion en ano
neck pain,Dolor de cuello
dizziness,Mareo
cramps,Calambres
bruising,Hematoma
obesity,Obesidad
swollen legs,Piernas hinchadas
swollen blood vessels,Vasos sanguineos hinchados
puffy face and eyes,Cara y ojos hinchados
enlarged thyroid,Tiroides agrandada
brittle nails,Uñas quebradizas
swollen extremeties,Extremidades hinchadas
excessive hunger,Hambre excesiva
extra marital contacts,Contactos extramatrimoniales
drying and tingling lips,Labios secos y con hormigueo
slurred speech,Dificultad para hablar
knee pain,Dolor de rodilla
hip joint pain,Dolor en la articulacion de la cadera
muscle weakness,Debilidad muscular
stiff neck,Rigidez de nuca
swelling joints,Hinchazon de las articulaciones
movement stiffness,Rigidez de movimiento
spinning movements,Movimientos giratorios
loss of balance,Perdida del equilibrio
unsteadiness,Inestabilidad
weakness of one body side,Debilidad en un lado del cuerpo
loss of smell,Perdida de olor
bladder discomfort,Incomodidad de la vejiga
foul smell of urine,Orina maloliente
continuous feel of urine,Sensacion continua de orina
passage of gases,Flatulencia
internal itching,Picazon interna
toxic look (typhos),Tifus
depression,Depresion
irritability,Irritabilidad
muscle pain,Dolor muscular
altered sensorium,Alteracion del estado mental
red spots over body,Manchas rojas sobre el cuerpo
belly pain,Dolor de vientre
abnormal menstruation,Menstruacion anormal
dischromic patches,Parches discromicos
watering from eyes,Lagrimeo de ojos
increased appetite,Aumento del apetito
polyuria,Poliuria
family history,Antecedentes familiares
mucoid sputum,Esputo mucoso
rusty sputum,Esputo color oxido
lack of concentration,Falta de concentracion
visual disturbances,Alteraciones visuales
receiving blood transfusion,Recibiendo transfusion de sangre
receiving unsterile injections,Recibiendo inyecciones no esterilizadas
coma,Coma
stomach bleeding,Sangrado estomacal
distention of abdomen,Distencion del abdomen
history of alcohol consumption,Antecedentes de consumo de alcohol
fluid overload,Sobrehidratacion
blood in sputum,Sangre en esputo
prominent veins on calf,Venas prominentes en la pantorrilla
palpitations,Palpitaciones
painful walking,Dolor al caminar
pus filled pimples,Granos llenos de pus
blackheads,Espinillas
scurring,Ronquido
skin peeling,Descamacion de la piel
silver like dusting,Escamas plateadas en piel
small dents in nails,Pequeñas abolladuras en las uñas
inflammatory nails,Uñas inflamadas
blister,Ampolla
red sore around nose,Rojez alrededor de la nariz
yellow crust ooze,Costras amarillas
